,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
69,Alameda Naval Air Station,KNGZ,-122.31667,37.78333,13.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.445087,2020-09-19 15:40:18.445088,CA,Alameda,MTR, 
5,Alturas,KAAT,-120.5615,41.48362,4383.0,10.0,1,America/Los_Angeles,1999-12-20 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Modoc,MFR, 
269,Alturas,KO00,-119.43,41.48,4367.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.454715,2020-09-19 15:40:18.454716,NV,Washoe,REV, 
152,Alturas,KS11,-120.53,41.5,4400.0,10.0,1,America/Los_Angeles,1997-02-28 00:00:00.000000,2000-06-13 23:15:00.000000,CA,Modoc,MFR, 
217,Anacapa Island,KL46,-119.36667,34.01667,138.0,10.0,1,America/Los_Angeles,2020-09-19 15:40:18.451080,2020-09-19 15:40:18.451080,CA,Ventura,, 
6,"Arcata / Eureka, Arcata Airport",KACV,-124.10861,40.97806,217.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Humboldt,EKA, 
196,Auburn Municipal Airport,KAUN,-121.08636,38.95535,1486.0,10.0,1,America/Los_Angeles,2004-11-18 00:00:00.000000,2020-09-08 23:35:00.000000,CA,Placer,STO, 
141,Austin,KU31,-117.08333,39.5,6608.0,10.0,1,America/Los_Angeles,1997-04-11 00:00:00.000000,2003-05-01 00:35:00.000000,NV,Lander,LKN, 
303,Austin Airport,KTMT,-117.19745,39.46794,5735.0,10.0,1,America/Los_Angeles,2019-01-15 10:23:00.000000,2020-09-08 23:35:00.000000,NV,Lander,LKN, 
197,Avalon Catalina Airport,KAVX,-118.41456,33.40421,1578.0,10.0,1,America/Los_Angeles,2004-11-18 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Los Angeles,LOX, 
13,Baker Municipal Airport,KBKE,-117.80987,44.84302,3360.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,OR,Baker,BOI, 
11,"Bakersfield, Meadows Field Airport",KBFL,-119.05667,35.43361,509.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Kern,HNX, 
9,Battle Mountain - Lander County Airport,KBAM,-116.8743,40.599,4532.0,10.0,1,America/Los_Angeles,1997-03-25 00:00:00.000000,2020-09-08 23:35:00.000000,NV,Lander,LKN, 
17,Beaumont,KBUO,-116.96667,33.93333,2270.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2001-09-01 23:45:00.000000,CA,Riverside,SGX, 
244,Bend Airport Awos,KBDN,-121.2006,44.0948,3455.0,10.0,1,America/Los_Angeles,2006-09-14 00:00:00.000000,2020-09-08 23:35:00.000000,OR,Deschutes,PDT, 
247,Big Bear City Airport,KL35,-116.856,34.2638,6752.0,10.0,1,America/Los_Angeles,2007-06-20 00:00:00.000000,2020-09-08 23:35:00.000000,CA,San Bernardino,SGX, 
12,"Bishop, Bishop Airport",KBIH,-118.35806,37.37111,4121.0,10.0,1,America/Los_Angeles,1997-04-12 00:00:00.000000,2020-09-08 23:20:00.000000,CA,Inyo,VEF, 
