,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
109,"Lompoc, Vandenberg Air Force Base",KVBG,-120.57667,34.72944,367,10,1,America/Los_Angeles,1998-10-01 0:00:00,2020-08-04 6:32:00,CA,Santa Barbara,LOX,
21,"Daggett, Barstow-Daggett Airport",KDAG,-116.78667,34.85361,1926,10,1,America/Los_Angeles,1997-01-11 0:00:00,2020-08-04 6:50:00,CA,San Bernardino,VEF,
319,Sacramento Executive Airport,KSAC,-121.49597,38.50674,16,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-08-04 6:53:00,CA,Sacramento,STO,
315,Redding Municipal Airport,KRDD,-122.2977,40.51461,499,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-08-04 6:53:00,CA,Shasta,STO,
328,"San Francisco, San Francisco International Airport",KSFO,-122.36558,37.61961,10,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-08-04 6:50:00,CA,San Mateo,MTR,
334,Santa Maria Public Airport/Capt G Allan Hancock Field,KSMX,-120.45212,34.89408,243,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-08-04 6:51:00,CA,Santa Barbara,LOX,
85,"Santa Barbara, Santa Barbara Municipal Airport",KSBA,-119.84361,34.42611,10,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-08-04 6:53:00,CA,Santa Barbara,LOX,
242,"Bakersfield, Meadows Field Airport",KBFL,-119.05667,35.43361,509,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-08-04 6:54:00,CA,Kern,HNX,
3,"Arcata / Eureka, Arcata Airport",KACV,-124.10861,40.97806,217,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-08-04 6:53:00,CA,Humboldt,EKA,
1,"Winnemucca, Winnemucca Municipal Airport",KWMC,-117.80722,40.90194,4301,10,1,America/Los_Angeles,1997-01-01 0:00:00,2020-09-08 23:20:00,NV,Humboldt,LKN,
243,"Brookings, Brookings Airport",KBOK,-124.29,42.07444,459,10,1,America/Los_Angeles,2005-08-08 0:00:00,2020-09-08 23:20:00,OR,Curry,MFR,
244,Bend Airport Awos,KBDN,-121.2006,44.0948,3455,10,1,America/Los_Angeles,2006-09-14 0:00:00,2020-09-08 23:35:00,OR,Deschutes,PDT,
12,"Bishop, Bishop Airport",KBIH,-118.35806,37.37111,4121,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,CA,Inyo,VEF,
27,"Corvallis, Corvallis Municipal Airport",KCVO,-123.28333,44.5,246,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,OR,Benton,PQR,
45,"Las Vegas, Mccarran International Airport",KLAS,-115.1634,36.07188,2180,10,1,America/Los_Angeles,1997-01-01 0:00:00,2020-09-08 23:20:00,NV,Clark,VEF,
36,"Eugene, Mahlon Sweet Field",KEUG,-123.21444,44.13333,364,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:33:00,OR,Lane,PQR,
112,"Reno, Reno Tahoe International Airport",KRNO,-119.76819,39.50776,4403,10,1,America/Los_Angeles,1997-01-01 0:00:00,2020-09-08 23:20:00,NV,Washoe,REV,
204,Fresno Chandler Executive Airport,KFCH,-119.81465,36.73096,279,10,1,America/Los_Angeles,2015-07-17 16:55:00,2020-05-14 10:35:00,CA,Fresno,HNX,
251,Half Moon Bay Airport,KHAF,-122.4996,37.5136,65,10,1,America/Los_Angeles,2010-01-19 0:00:00,2020-09-08 23:35:00,CA,San Mateo,MTR,
49,Klamath Falls International Airport,KLMT,-121.72548,42.14703,4081,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,OR,Klamath,MFR,
46,"Los Angeles, Los Angeles International Airport",KLAX,-118.38889,33.93806,125,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,CA,Los Angeles,LOX,
93,"Oxnard, Oxnard Airport",KOXR,-119.20306,34.20056,43,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,CA,Ventura,LOX,
100,Paso Robles Municipal Airport,KPRB,-120.62912,35.66941,810,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,CA,San Luis Obispo,LOX,
125,Salem - Mcnary Field,KSLE,-123.00096,44.90493,207,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:21:00,OR,Marion,PQR,
114,San Diego International Airport,KSAN,-117.18306,32.73361,13,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,CA,San Diego,SGX,
124,"San Jose, San Jose International Airport",KSJC,-121.92417,37.35917,59,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,CA,Santa Clara,MTR,
117,"San Luis Obispo, San Luis Obispo County-Mc Chesney Field",KSBP,-120.63611,35.23611,207,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,CA,San Luis Obispo,LOX,
209,"Santa Ynez, Santa Ynez Airport",KIZA,-120.07556,34.60694,673,10,1,America/Los_Angeles,2005-04-03 0:00:00,2020-09-08 23:35:00,CA,Santa Barbara,LOX,
58,Rogue Valley International Airport,KMFR,-122.87696,42.37503,1312,10,1,America/Los_Angeles,1997-04-12 0:00:00,2020-09-08 23:20:00,OR,Jackson,MFR,
